campus_id,campus,state,professor_name,evidence_state,course_code,source_quality,confidence,source_url,source_domain,term,year
102fd422-da6d-47e5-aabe-e5d83c511408,The University of Texas at Austin,TX,Donna Johnston-Blair,POSSIBLE_INTRO1,ACC 311,MEDIUM,Low,https://catalog.utexas.edu/pdf/2024-26-undergraduate_addendum.pdf,catalog.utexas.edu,,
102fd422-da6d-47e5-aabe-e5d83c511408,The University of Texas at Austin,TX,Laura Savoie,LIKELY_INTRO1,ACC 311,HIGH,Medium,https://utdirect.utexas.edu/apps/student/coursedocs/nlogon/download/9635684/,utdirect.utexas.edu,Summer,
102fd422-da6d-47e5-aabe-e5d83c511408,The University of Texas at Austin,TX,Megan Allen,LIKELY_INTRO1,ACC 311,HIGH,Medium,https://utdirect.utexas.edu/apps/student/coursedocs/nlogon/download/10503535/,utdirect.utexas.edu,Fall,2020
102fd422-da6d-47e5-aabe-e5d83c511408,The University of Texas at Austin,TX,J. William Kamas,LIKELY_INTRO1,ACC 311,HIGH,Medium,https://utdirect.utexas.edu/apps/student/coursedocs/nlogon/download/7815062,utdirect.utexas.edu,Fall,2017
102fd422-da6d-47e5-aabe-e5d83c511408,The University of Texas at Austin,TX,Skylar DeTure,LIKELY_INTRO1,ACC 311,HIGH,Medium,https://utdirect.utexas.edu/apps/student/coursedocs/nlogon/download/7815062,utdirect.utexas.edu,Fall,2017
102fd422-da6d-47e5-aabe-e5d83c511408,The University of Texas at Austin,TX,Ashley Zaroff,LIKELY_INTRO1,ACC 311,HIGH,Medium,https://utdirect.utexas.edu/apps/student/coursedocs/nlogon/download/7815062,utdirect.utexas.edu,Fall,2017
102fd422-da6d-47e5-aabe-e5d83c511408,The University of Texas at Austin,TX,Donna Johnston-Blair,LIKELY_INTRO1,ACC 311,HIGH,Medium,https://utdirect.utexas.edu/apps/student/coursedocs/nlogon/download/3436716/,utdirect.utexas.edu,Fall,2013
102fd422-da6d-47e5-aabe-e5d83c511408,The University of Texas at Austin,TX,Kelsi Welch,LIKELY_INTRO1,ACC 311,HIGH,Medium,https://utdirect.utexas.edu/apps/student/coursedocs/nlogon/download/3436716/,utdirect.utexas.edu,Fall,2013
13864a8e-31cc-45e2-a81d-5e54f623ab35,Univ No Carolina Greensboro,NC,Patricia Fields Cates,LIKELY_INTRO1,ACC 201,HIGH,Medium,https://bryan.uncg.edu/wp-content/uploads/2024/11/ACC-201-06.pdf,bryan.uncg.edu,Fall,2024
13864a8e-31cc-45e2-a81d-5e54f623ab35,Univ No Carolina Greensboro,NC,Patricia Fields Cates,LIKELY_INTRO1,ACC 201,HIGH,Medium,https://bryan.uncg.edu/wp-content/uploads/2025/02/ACC-201-03.pdf,bryan.uncg.edu,Spring,2024
163adfda-42e6-4a63-9af0-2c63d4e871e5,De Anza College,CA,Christopher Kwak,LIKELY_INTRO1,,HIGH,Medium,https://www.deanza.edu/buscs/archived-syllabi/gs_2015-2016/gswinter2016/Kwok_ACCT-1A-09_Winter2016.pdf,deanza.edu,Winter,2016
163adfda-42e6-4a63-9af0-2c63d4e871e5,De Anza College,CA,Christopher Kwak,LIKELY_INTRO1,,HIGH,Medium,https://www.deanza.edu/buscs/archived-syllabi/gs_2015-2016/gswinter2016/Kwok_ACCT-58-63z_Winter2016.pdf,deanza.edu,Winter,2016
163adfda-42e6-4a63-9af0-2c63d4e871e5,De Anza College,CA,Steve Hurst,LIKELY_INTRO1,,HIGH,Medium,https://www.deanza.edu/buscs/archived-syllabi/gs_2015-2016/gsfall2015/Hurst_ACCT_1B_F15.pdf,deanza.edu,Fall,2015
163adfda-42e6-4a63-9af0-2c63d4e871e5,De Anza College,CA,Scott Osborne,CONFIRMED_INTRO1,,HIGH,High,https://www.deanza.edu/schedule/class-details.html?crn=31801&y=2026&q=W,deanza.edu,,2026
163adfda-42e6-4a63-9af0-2c63d4e871e5,De Anza College,CA,Scott Osborne,POSSIBLE_INTRO1,ACCT 1A,HIGH,Low,https://www.deanza.edu/schedule/class-details.html?crn=31801&y=2026&q=W,deanza.edu,,
163adfda-42e6-4a63-9af0-2c63d4e871e5,De Anza College,CA,Scott Osborne,POSSIBLE_INTRO1,ACCT 1A,HIGH,Low,https://www.deanza.edu/curriculum/curriculumcommittee/agenda_minutes/documents/old/CC_Agenda_2324.pdf,deanza.edu,,
163adfda-42e6-4a63-9af0-2c63d4e871e5,De Anza College,CA,Yacoub Moussa,CONFIRMED_INTRO1,ACCT 1A,HIGH,High,https://www.deanza.edu/schedule/online-classes.html,deanza.edu,,2026
163adfda-42e6-4a63-9af0-2c63d4e871e5,De Anza College,CA,Sandra Li,CONFIRMED_INTRO1,ACCT 1A,HIGH,High,https://www.deanza.edu/schedule/online-classes.html,deanza.edu,,2026
163adfda-42e6-4a63-9af0-2c63d4e871e5,De Anza College,CA,Lauri Hammond,CONFIRMED_INTRO1,ACCT 1A,HIGH,High,https://www.deanza.edu/schedule/online-classes.html,deanza.edu,,2026
163adfda-42e6-4a63-9af0-2c63d4e871e5,De Anza College,CA,Lydia R. Botsford,LIKELY_INTRO1,ACCT 1A,HIGH,Medium,https://www.deanza.edu/buscs/archived-syllabi/gs_2014-2015/gsspring2015/Botsford_Acct-1A-04_Spring2015.pdf,deanza.edu,,
163adfda-42e6-4a63-9af0-2c63d4e871e5,De Anza College,CA,Lydia R. Botsford,LIKELY_INTRO1,ACCT 1A,HIGH,Medium,https://www2.deanza.edu/buscs/archived-syllabi/gs_2014-2015/gsspring2015/BOTSFORD_BUS-67A-64Z_Spring2015.pdf,www2.deanza.edu,Spring,2015
171479ac-0d62-494b-b7ee-cfecb8ebc587,Florida Southern College,FL,Collin Clark,LIKELY_INTRO1,,HIGH,Medium,https://portal.flsouthern.edu/ICS/Academics/ACC/ACC__2111/2020_DS-ACC__2111-003/,portal.flsouthern.edu,Spring,2021
17b27729-2428-4f20-8125-a1c17c6bc9da,Chaffey College,CA,Patrick Cabildo,POSSIBLE_INTRO1,ACCTG 1A,HIGH,Low,https://www.chaffey.edu/leadership/docs/agendas/2021/2021-03-25-regular-session-agenda.pdf,chaffey.edu,,
18900a1d-e1e7-4324-ad9b-51d3a6755d11,University of Alberta,AB,Andrea Mitchell,CONFIRMED_INTRO1,,HIGH,High,https://apps.ualberta.ca/catalogue/instructor/andrealy,apps.ualberta.ca,Fall,2026
1a3169d1-2611-44de-8b14-2dee844afddd,Canisius College,NY,Chloe Wilczak,LIKELY_INTRO1,ACC 201,HIGH,Medium,https://www.canisius.edu/media/12738/download?attachment,canisius.edu,,
1a3169d1-2611-44de-8b14-2dee844afddd,Canisius College,NY,Julius Schoner,LIKELY_INTRO1,ACC 201,HIGH,Medium,https://www.canisius.edu/media/12738/download?attachment,canisius.edu,,
1a3169d1-2611-44de-8b14-2dee844afddd,Canisius College,NY,Jay Henley,LIKELY_INTRO1,ACC 201,HIGH,Medium,https://www.canisius.edu/media/12738/download?attachment,canisius.edu,,
1a4b48eb-1f7f-4ac6-bf8a-c5d7434ce1fa,Penn State University Univ,PA,Shina,CONFIRMED_INTRO1,ACCTG 201,HIGH,High,https://wilkesbarre.psu.edu/registrar/final-exams,wilkesbarre.psu.edu,Spring,2026
1ad51593-c384-497f-9c1d-ea8afb34d5b5,Texas State University,TX,Christopher R. Proschko,POSSIBLE_INTRO1,ACC 2361,HIGH,Low,https://gato-docs.its.txstate.edu/jcr:c6aaf0f4-7b39-45bd-b5c7-be6e4e5f82f2/Vita_Christopher_Proschko.pdf,gato-docs.its.txstate.edu,,
1eadb5cb-b0b8-45f1-9529-51cf18863dc0,Oral Roberts University,OK,Ray Gregg,POSSIBLE_INTRO1,ACT 215,HIGH,Low,https://oru.edu/pdfs/academics/catalog/catalog-2007-2008.pdf,oru.edu,,
1eadb5cb-b0b8-45f1-9529-51cf18863dc0,Oral Roberts University,OK,Dr. Doris K Feltham,LIKELY_INTRO1,ACT 215,HIGH,Medium,https://syllabi.oru.edu/?id=51532,syllabi.oru.edu,Fall,2018
1eb85006-b10a-4afc-bc07-ed87060b60bd,Johnson County Community College,KS,Angela King,POSSIBLE_INTRO1,ACCT 121,HIGH,Low,https://www.jccc.edu/admissions/enrollment/files/schedules/credit-schedule-spring-2018.pdf,jccc.edu,,
1eee187e-f639-4f30-ae46-39db81030a1e,University of Maine,ME,Dr. Rozhin Yousefvand Mansouri,LIKELY_INTRO1,,HIGH,Medium,https://usm.maine.edu/school-business/wp-content/uploads/sites/187/2023/03/Course-Syllabus-_ACC-110-Spring-2023.pdf,usm.maine.edu,Spring,2023
217f80e3-e73d-44b5-b442-996200638993,Rhode Island College,RI,David Filipek,POSSIBLE_INTRO1,ACCT 201,HIGH,Low,https://digitalcollections.ric.edu/record/14248/files/CA-0009-b06-f05.pdf,digitalcollections.ric.edu,,
21cad3ab-fb66-4efb-b338-430cbbdd41e9,"University of Nevada, Las Vegas",NV,T. Perri,LIKELY_INTRO1,ACC 201,HIGH,Medium,https://www.unlv.edu/sites/default/files/media/document/2023-05/ACC201-Syllabus.pdf,unlv.edu,Fall,2016
2295938f-dc14-4a90-af6f-2cd67c4d98cb,Univ of Alaska Southeast,AK,Paulette Schirmer,POSSIBLE_INTRO1,ACCT S201,HIGH,Low,https://uas.alaska.edu/curriculum/docs/meetingagendas/2024-2025/2024-12-20-ugcc-agenda.pdf,uas.alaska.edu,,
2567ae60-6898-4652-a62a-13a73c18e2c5,Ball State University,IN,Dr. Sharon Huang,CONFIRMED_INTRO1,ACC 201,HIGH,High,https://www.bsu.edu/web/bsudatastream?ds=Z7UH8ban8ng2QorQ23ulQqvlzy9IOXozqGBFobSkTHyszcjpfhMUQ29mmL%2FWvO6IFdJFmKq2COPR%2BZfY6Au4SbSEwnNUBK1GzaWoGBHVAgUQYkgKYsvGxrehIY6WOLxc7x8eRKCmEljk9u6w5yYMuScTZdzpHE2ltYVniJ4rTZY%3D,bsu.edu,Spring,2026
2567ae60-6898-4652-a62a-13a73c18e2c5,Ball State University,IN,Atul Singh,CONFIRMED_INTRO1,ACC 201,HIGH,High,https://www.bsu.edu/web/bsudatastream?ds=biKfmF7Z5MMYpGvYzydL4sNe%2BRegOPwWpBTh%2FYqm6EEnxYK8972cVS28367lHFU0OLOrb61jyIbXQzhhq8ygDO6hO1hUV%2BLLqluSVU%2B%2FfmiIL3FlH8n1g61dXut3AIvOhW2QGef6QxgfF4kOBLrrLw%3D%3D,bsu.edu,Summer,2026
2c434afb-1227-464b-9876-da717055f353,Uof Minnesota Duluth,MN,Lolita Paff,LIKELY_INTRO1,,HIGH,Medium,https://open.umn.edu/opentextbooks/textbooks/financial-and-managerial-accounting,open.umn.edu,,2021
2c4a27b0-8a7e-47f8-94bc-ee1f94c88d37,Community College of Rhode Island,RI,Cecile M. Roberti,LIKELY_INTRO1,,HIGH,Medium,https://bannerweb.ccri.edu/pls/DORA/bwckctlg.p_disp_listcrse?term_in=201010&subj_in=ACCT&crse_in=1010&schd_in=LEC,bannerweb.ccri.edu,Spring,2010
2c4a27b0-8a7e-47f8-94bc-ee1f94c88d37,Community College of Rhode Island,RI,Brenda L Konopelko,LIKELY_INTRO1,,HIGH,Medium,https://bannerweb.ccri.edu/pls/DORA/bwckctlg.p_disp_listcrse?term_in=201010&subj_in=ACCT&crse_in=1010&schd_in=LEC,bannerweb.ccri.edu,Spring,2010
2c4a27b0-8a7e-47f8-94bc-ee1f94c88d37,Community College of Rhode Island,RI,William E. Squizzero,LIKELY_INTRO1,,HIGH,Medium,https://bannerweb.ccri.edu/pls/DORA/bwckctlg.p_disp_listcrse?term_in=201010&subj_in=ACCT&crse_in=1010&schd_in=LEC,bannerweb.ccri.edu,Spring,2010
2c4a27b0-8a7e-47f8-94bc-ee1f94c88d37,Community College of Rhode Island,RI,Joanne C Orabone,LIKELY_INTRO1,,HIGH,Medium,https://bannerweb.ccri.edu/pls/DORA/bwckctlg.p_disp_listcrse?term_in=201010&subj_in=ACCT&crse_in=1010&schd_in=LEC,bannerweb.ccri.edu,Spring,2010
2c4a27b0-8a7e-47f8-94bc-ee1f94c88d37,Community College of Rhode Island,RI,Arthur A. Silva,LIKELY_INTRO1,,HIGH,Medium,https://bannerweb.ccri.edu/pls/DORA/bwckctlg.p_disp_listcrse?term_in=201010&subj_in=ACCT&crse_in=1010&schd_in=LEC,bannerweb.ccri.edu,Spring,2010
2c4a27b0-8a7e-47f8-94bc-ee1f94c88d37,Community College of Rhode Island,RI,John S. Renza,LIKELY_INTRO1,,HIGH,Medium,https://bannerweb.ccri.edu/pls/DORA/bwckctlg.p_disp_listcrse?term_in=201010&subj_in=ACCT&crse_in=1010&schd_in=LEC,bannerweb.ccri.edu,Spring,2010
